Flight_ID,Date,Route,Planned_Dep_Min,Delay_Min,Actual_Dep_Min
6E1148,2024-07-27,DEL-HYD,1348,24.0,1372.0
6E1149,2024-11-15,DEL-BLR,1255,93.0,1348.0
6E1150,2024-07-05,BOM-BLR,1004,60.0,1064.0
6E1151,2024-05-09,DEL-BLR,836,10.0,846.0
6E1152,2024-05-06,DEL-BOM,1272,5.0,1277.0
6E1153,2024-10-18,DEL-BLR,1340,5.0,1345.0
6E1154,2024-04-23,BOM-BLR,263,5.0,268.0
6E1155,2024-07-17,BOM-BLR,1286,32.0,1318.0
6E1156,2024-01-13,BLR-HYD,681,27.0,708.0
6E1157,2024-09-27,BLR-HYD,1439,31.0,1470.0
6E1158,2024-03-29,BOM-BLR,912,59.0,971.0
6E1159,2024-08-02,BOM-BLR,69,84.0,153.0
6E1160,2024-10-04,DEL-BOM,1257,10.0,1267.0
6E1161,2024-07-21,DEL-BLR,431,68.0,499.0
6E1162,2024-03-14,BLR-HYD,1077,11.0,1088.0
6E1163,2024-01-25,DEL-BOM,169,100.0,269.0
6E1164,2024-04-10,DEL-BLR,35,78.0,113.0
6E1165,2024-06-24,BLR-HYD,258,41.0,299.0
6E1166,2024-04-26,DEL-BOM,250,117.0,367.0
6E1167,2024-06-14,DEL-HYD,12,39.0,51.0
6E1168,2024-02-10,DEL-HYD,670,71.0,741.0
6E1169,2024-12-09,BLR-HYD,540,30.0,570.0
6E1170,2024-04-29,DEL-BOM,56,120.0,176.0
6E1171,2024-04-06,DEL-BLR,1003,46.0,1049.0
6E1172,2024-05-24,DEL-BLR,1184,102.0,1286.0
6E1173,2024-08-03,DEL-BOM,436,53.0,489.0
6E1174,2024-08-16,DEL-HYD,777,0.0,777.0
6E1175,2024-11-08,DEL-BOM,229,33.0,262.0
6E1176,2024-05-09,DEL-HYD,830,1.0,831.0
6E1177,2024-12-17,DEL-HYD,840,46.0,886.0
6E1178,2024-11-13,DEL-BLR,1216,9.0,1225.0
6E1179,2024-05-16,BLR-HYD,619,43.0,662.0
6E1180,2024-11-19,BOM-BLR,356,7.0,363.0
6E1181,2024-12-02,DEL-BOM,351,109.0,460.0
6E1182,2024-09-29,DEL-HYD,864,81.0,945.0
6E1183,2024-04-26,DEL-BOM,1281,104.0,1385.0
6E1184,2024-11-01,BLR-HYD,621,47.0,668.0
6E1185,2024-04-03,BLR-HYD,634,100.0,734.0
6E1186,2024-06-16,BOM-BLR,964,109.0,1073.0
6E1187,2024-07-21,BOM-BLR,627,63.0,690.0
6E1188,2024-12-06,DEL-HYD,292,102.0,394.0
6E1189,2024-05-28,BOM-BLR,1409,54.0,1463.0
6E1190,2024-07-01,DEL-HYD,828,13.0,841.0
6E1191,2024-05-31,DEL-BLR,233,48.0,281.0
6E1192,2024-03-14,DEL-HYD,1319,26.0,1345.0
6E1193,2024-12-30,BOM-BLR,536,30.0,566.0
6E1194,2024-09-30,DEL-BOM,1402,0.0,1402.0
6E1195,2024-02-11,BOM-BLR,804,4.0,808.0
6E1196,2024-07-30,BLR-HYD,1233,104.0,1337.0
6E1197,2024-04-10,BOM-BLR,538,10.0,548.0
6E1198,2024-02-14,DEL-BLR,851,37.0,888.0
6E1199,2024-03-22,DEL-HYD,177,54.0,231.0
6E1200,2024-01-17,BLR-HYD,555,80.0,635.0
6E1201,2024-03-13,DEL-HYD,1095,91.0,1186.0
6E1202,2024-01-14,DEL-HYD,1245,68.0,1313.0
6E1203,2024-06-05,BOM-BLR,947,107.0,1054.0
6E1204,2024-08-10,DEL-BOM,822,27.0,849.0
6E1205,2024-05-11,BLR-HYD,227,75.0,302.0
6E1206,2024-12-03,DEL-BLR,1256,40.0,1296.0
6E1207,2024-02-16,DEL-BLR,1291,0.0,1291.0
6E1208,2024-04-16,DEL-BOM,253,101.0,354.0
6E1209,2024-04-17,DEL-BOM,674,26.0,700.0
6E1210,2024-09-21,BOM-BLR,5,20.0,25.0
6E1211,2024-07-23,DEL-BLR,46,51.0,97.0
6E1212,2024-03-19,BLR-HYD,1430,0.0,1430.0
6E1213,2024-06-03,DEL-BOM,882,56.0,938.0
6E1214,2024-09-27,DEL-BOM,579,62.0,641.0
6E1215,2024-09-03,DEL-BOM,253,80.0,333.0
6E1216,2024-01-19,BLR-HYD,58,87.0,145.0
6E1217,2024-12-11,DEL-BLR,1416,62.0,1478.0
6E1218,2024-01-26,BLR-HYD,559,37.0,596.0
6E1219,2024-08-04,BLR-HYD,1014,91.0,1105.0
6E1220,2024-06-02,BOM-BLR,1214,91.0,1305.0
6E1221,2024-06-02,DEL-BOM,264,108.0,372.0
6E1222,2024-06-22,DEL-BLR,1166,89.0,1255.0
6E1223,2024-04-01,BOM-BLR,245,54.0,299.0
6E1224,2024-12-03,BOM-BLR,1239,45.0,1284.0
6E1225,2024-06-29,DEL-HYD,436,72.0,508.0
6E1226,2024-05-10,DEL-BOM,687,29.0,716.0
6E1227,2024-10-24,DEL-BLR,475,107.0,582.0
6E1228,2024-10-01,DEL-BLR,1407,63.0,1470.0
6E1229,2024-09-29,DEL-BLR,937,49.0,986.0
6E1230,2024-03-16,DEL-BOM,877,77.0,954.0
6E1231,2024-06-25,DEL-BLR,656,91.0,747.0
6E1232,2024-07-02,BLR-HYD,546,9.0,555.0
6E1233,2024-11-14,BLR-HYD,414,27.0,441.0
6E1234,2024-05-10,DEL-BOM,1155,65.0,1220.0
6E1235,2024-12-28,DEL-BLR,397,102.0,499.0
6E1236,2024-02-18,DEL-HYD,1176,76.0,1252.0
6E1237,2024-02-24,DEL-HYD,167,3.0,170.0
6E1238,2024-06-02,DEL-HYD,802,30.0,832.0
6E1239,2024-12-20,BLR-HYD,229,19.0,248.0
6E1240,2024-07-18,DEL-HYD,702,0.0,702.0
6E1241,2024-11-03,DEL-BLR,1427,76.0,1503.0
6E1242,2024-12-21,DEL-BLR,143,31.0,174.0
6E1243,2024-04-27,DEL-HYD,67,46.0,113.0
6E1244,2024-09-19,BOM-BLR,1017,99.0,1116.0
6E1245,2024-02-15,DEL-HYD,97,76.0,173.0
6E1246,2024-10-28,BOM-BLR,6,52.0,58.0
6E1247,2024-12-21,DEL-BOM,814,54.0,868.0
6E1248,2024-07-07,DEL-BOM,176,89.0,265.0
6E1249,2024-11-05,DEL-BLR,1229,84.0,1313.0
6E1250,2024-11-13,BLR-HYD,298,17.0,315.0
6E1251,2024-05-08,DEL-BLR,228,32.0,260.0
6E1252,2024-02-18,DEL-BLR,895,70.0,965.0
6E1253,2024-01-25,BLR-HYD,630,7.0,637.0
6E1254,2024-09-22,DEL-BLR,269,16.0,285.0
6E1255,2024-04-27,BLR-HYD,80,10.0,90.0
6E1256,2024-05-23,DEL-BLR,1211,7.0,1218.0
6E1257,2024-07-18,DEL-BOM,819,81.0,900.0
6E1258,2024-06-05,BOM-BLR,500,98.0,598.0
6E1259,2024-12-13,DEL-BLR,705,51.0,756.0
6E1260,2024-05-13,BOM-BLR,989,94.0,1083.0
6E1261,2024-05-27,DEL-HYD,702,101.0,803.0
6E1262,2024-12-01,DEL-BLR,1312,11.0,1323.0
6E1263,2024-03-11,DEL-BOM,105,28.0,133.0
6E1264,2024-08-20,BLR-HYD,640,112.0,752.0
6E1265,2024-11-29,DEL-BOM,608,38.0,646.0
6E1266,2024-10-25,BOM-BLR,995,44.0,1039.0
6E1267,2024-06-02,BLR-HYD,1008,73.0,1081.0
6E1268,2024-03-30,DEL-BOM,1246,13.0,1259.0
6E1269,2024-11-29,DEL-BOM,381,103.0,484.0
6E1270,2024-07-17,DEL-BOM,837,11.0,848.0
6E1271,2024-06-09,BLR-HYD,103,35.0,138.0
6E1272,2024-01-26,DEL-BOM,663,62.0,725.0
6E1273,2024-04-30,DEL-BOM,1137,102.0,1239.0
6E1274,2024-10-27,BOM-BLR,1078,57.0,1135.0
6E1275,2024-07-30,DEL-BOM,120,85.0,205.0
6E1276,2024-03-03,DEL-BOM,1240,74.0,1314.0
6E1277,2024-03-08,DEL-HYD,1026,95.0,1121.0
6E1278,2024-09-09,BLR-HYD,1115,22.0,1137.0
6E1279,2024-01-02,DEL-HYD,406,107.0,513.0
6E1280,2024-04-17,BOM-BLR,675,113.0,788.0
6E1281,2024-10-12,DEL-HYD,440,115.0,555.0
6E1282,2024-02-18,DEL-BLR,431,76.0,507.0
6E1283,2024-05-19,BLR-HYD,908,9.0,917.0
6E1284,2024-08-05,DEL-BOM,60,61.0,121.0
6E1285,2024-02-13,DEL-HYD,725,22.0,747.0
6E1286,2024-09-25,DEL-HYD,1270,49.0,1319.0
6E1287,2024-03-18,DEL-BOM,938,106.0,1044.0
6E1288,2024-08-03,DEL-BOM,868,83.0,951.0
6E1289,2024-04-07,BOM-BLR,1395,55.0,1450.0
6E1290,2024-08-23,DEL-HYD,1312,35.0,1347.0
6E1291,2024-10-08,DEL-HYD,1047,40.0,1087.0
6E1292,2024-05-28,DEL-BLR,405,94.0,499.0
6E1293,2024-10-30,DEL-BLR,1331,63.0,1394.0
6E1294,2024-03-06,DEL-HYD,612,85.0,697.0
6E1295,2024-08-21,DEL-BLR,1395,95.0,1490.0
6E1296,2024-03-27,DEL-HYD,214,63.0,277.0
6E1297,2024-03-19,BLR-HYD,261,58.0,319.0
6E1298,2024-07-23,BOM-BLR,914,93.0,1007.0
6E1299,2024-10-05,DEL-BLR,1369,72.0,1441.0
6E1300,2024-12-02,DEL-HYD,1436,113.0,1549.0
6E1301,2024-09-10,DEL-BLR,122,35.0,157.0
6E1302,2024-10-30,BOM-BLR,763,36.0,799.0
6E1303,2024-05-09,BLR-HYD,319,56.0,375.0
6E1304,2024-03-24,DEL-BOM,1360,60.0,1420.0
6E1305,2024-10-02,DEL-BOM,157,0.0,157.0
6E1306,2024-07-05,DEL-BLR,1350,4.0,1354.0
6E1307,2024-02-15,DEL-HYD,1088,70.0,1158.0
6E1308,2024-07-01,BOM-BLR,368,75.0,443.0
6E1309,2024-09-24,BLR-HYD,869,88.0,957.0
6E1310,2024-10-22,BLR-HYD,1027,95.0,1122.0
6E1311,2024-11-17,BLR-HYD,685,10.0,695.0
6E1312,2024-04-09,DEL-BOM,913,54.0,967.0
6E1313,2024-03-18,BOM-BLR,1083,98.0,1181.0
6E1314,2024-09-28,DEL-BOM,1068,61.0,1129.0
6E1315,2024-12-04,DEL-BLR,583,5.0,588.0
6E1316,2024-06-10,BLR-HYD,542,44.0,586.0
6E1317,2024-02-13,BOM-BLR,155,6.0,161.0
6E1318,2024-08-25,BLR-HYD,887,25.0,912.0
6E1319,2024-05-13,DEL-BOM,751,18.0,769.0
6E1320,2024-07-10,DEL-BOM,63,17.0,80.0
6E1321,2024-12-21,DEL-BOM,420,46.0,466.0
6E1322,2024-10-04,BLR-HYD,322,37.0,359.0
6E1323,2024-01-18,BOM-BLR,1132,95.0,1227.0
6E1324,2024-01-12,BOM-BLR,546,24.0,570.0
6E1325,2024-06-28,DEL-BLR,250,40.0,290.0
6E1326,2024-05-02,BLR-HYD,865,91.0,956.0
6E1327,2024-09-02,DEL-BLR,509,28.0,537.0
6E1328,2024-08-09,DEL-BLR,440,34.0,474.0
6E1329,2024-02-20,DEL-BLR,453,68.0,521.0
6E1330,2024-03-11,DEL-BLR,643,60.0,703.0
6E1331,2024-02-17,DEL-BOM,816,77.0,893.0
6E1332,2024-01-19,DEL-BLR,678,45.0,723.0
6E1333,2024-09-18,BOM-BLR,273,107.0,380.0
6E1334,2024-03-24,DEL-BLR,59,81.0,140.0
6E1335,2024-06-03,DEL-BOM,341,43.0,384.0
6E1336,2024-02-22,DEL-HYD,1417,32.0,1449.0
6E1337,2024-04-16,DEL-HYD,112,73.0,185.0
6E1338,2024-12-22,DEL-HYD,1244,81.0,1325.0
6E1339,2024-10-30,BLR-HYD,67,28.0,95.0
6E1340,2024-05-14,BOM-BLR,1338,1.0,1339.0
6E1341,2024-03-09,DEL-BOM,466,86.0,552.0
6E1342,2024-01-11,DEL-HYD,857,65.0,922.0
6E1343,2024-05-22,DEL-BOM,262,50.0,312.0
6E1344,2024-07-10,DEL-BOM,1154,39.0,1193.0
6E1345,2024-03-09,BLR-HYD,423,45.0,468.0
6E1346,2024-01-23,DEL-HYD,1290,49.0,1339.0
6E1347,2024-06-29,DEL-BLR,719,58.0,777.0
6E1348,2024-10-19,DEL-BOM,1235,100.0,1335.0
6E1349,2024-01-09,DEL-HYD,562,11.0,573.0
6E1350,2024-09-27,DEL-BOM,982,42.0,1024.0
6E1351,2024-04-02,BLR-HYD,918,52.0,970.0
6E1352,2024-01-17,BLR-HYD,287,0.0,287.0
6E1353,2024-06-02,DEL-BLR,424,32.0,456.0
6E1354,2024-11-23,BLR-HYD,553,88.0,641.0
6E1355,2024-05-28,DEL-HYD,758,18.0,776.0
6E1356,2024-09-23,BLR-HYD,243,80.0,323.0
6E1357,2024-11-23,DEL-BLR,999,8.0,1007.0
6E1358,2024-04-15,BOM-BLR,1357,110.0,1467.0
6E1359,2024-02-04,DEL-BOM,327,60.0,387.0
6E1360,2024-04-28,DEL-BOM,714,88.0,802.0
6E1361,2024-01-14,DEL-HYD,1129,43.0,1172.0
6E1362,2024-01-14,DEL-BLR,800,2.0,802.0
6E1363,2024-09-22,DEL-BLR,1102,26.0,1128.0
6E1364,2024-05-19,DEL-BLR,1188,58.0,1246.0
6E1365,2024-10-20,DEL-BOM,630,40.0,670.0
6E1366,2024-12-29,BLR-HYD,1080,51.0,1131.0
6E1367,2024-04-28,DEL-BOM,959,59.0,1018.0
6E1368,2024-08-25,DEL-BOM,959,17.0,976.0
6E1369,2024-02-03,DEL-BOM,1211,58.0,1269.0
6E1370,2024-06-17,BLR-HYD,1075,75.0,1150.0
6E1371,2024-01-10,BOM-BLR,1095,23.0,1118.0
6E1372,2024-05-01,DEL-HYD,752,39.0,791.0
6E1373,2024-05-24,BOM-BLR,323,98.0,421.0
6E1374,2024-08-10,BOM-BLR,1361,84.0,1445.0
6E1375,2024-09-13,DEL-BOM,154,9.0,163.0
6E1376,2024-09-24,BOM-BLR,58,109.0,167.0
6E1377,2024-12-24,DEL-BOM,1298,80.0,1378.0
6E1378,2024-01-04,DEL-BOM,200,14.0,214.0
6E1379,2024-12-19,DEL-HYD,294,55.0,349.0
6E1380,2024-04-15,DEL-BLR,1345,72.0,1417.0
6E1381,2024-03-25,DEL-BOM,1352,0.0,1352.0
6E1382,2024-08-01,BOM-BLR,1413,46.0,1459.0
6E1383,2024-04-30,DEL-HYD,997,95.0,1092.0
6E1384,2024-05-11,BOM-BLR,1307,73.0,1380.0
6E1385,2024-12-03,DEL-BLR,1199,29.0,1228.0
6E1386,2024-07-15,BLR-HYD,609,77.0,686.0
6E1387,2024-01-19,DEL-BLR,348,83.0,431.0
6E1388,2024-05-09,DEL-HYD,962,89.0,1051.0
6E1389,2024-01-12,DEL-BLR,381,46.0,427.0
6E1390,2024-03-21,DEL-BLR,1295,14.0,1309.0
6E1391,2024-11-25,DEL-HYD,491,31.0,522.0
6E1392,2024-12-19,DEL-HYD,330,118.0,448.0
6E1393,2024-09-18,BOM-BLR,874,80.0,954.0
6E1394,2024-05-04,DEL-BOM,157,78.0,235.0
6E1395,2024-11-02,BLR-HYD,431,113.0,544.0
6E1396,2024-09-23,BLR-HYD,1348,21.0,1369.0
6E1397,2024-05-19,BLR-HYD,1139,30.0,1169.0
6E1398,2024-11-24,DEL-BLR,618,58.0,676.0
6E1399,2024-01-02,DEL-HYD,618,99.0,717.0
6E1400,2024-01-08,DEL-HYD,625,0.0,625.0
6E1401,2024-09-06,DEL-HYD,434,80.0,514.0
6E1402,2024-05-18,DEL-BOM,795,0.0,795.0
6E1403,2024-05-03,DEL-HYD,931,0.0,931.0
6E1404,2024-11-04,DEL-HYD,571,102.0,673.0
6E1405,2024-08-15,DEL-BLR,265,24.0,289.0
6E1406,2024-01-10,BOM-BLR,1421,114.0,1535.0
6E1407,2024-07-30,BLR-HYD,101,14.0,115.0
6E1408,2024-04-21,DEL-BLR,1086,110.0,1196.0
6E1409,2024-01-08,DEL-BLR,996,12.0,1008.0
6E1410,2024-10-18,DEL-BLR,708,29.0,737.0
6E1411,2024-12-27,BLR-HYD,1014,15.0,1029.0
6E1412,2024-09-09,DEL-BLR,823,23.0,846.0
6E1413,2024-01-14,BOM-BLR,221,68.0,289.0
6E1414,2024-08-27,DEL-HYD,914,62.0,976.0
6E1415,2024-08-29,BOM-BLR,435,5.0,440.0
6E1416,2024-12-07,DEL-HYD,1213,16.0,1229.0
6E1417,2024-05-28,DEL-HYD,639,100.0,739.0
6E1418,2024-08-23,DEL-BLR,944,111.0,1055.0
6E1419,2024-11-01,DEL-BLR,333,0.0,333.0
6E1420,2024-06-15,BLR-HYD,906,17.0,923.0
6E1421,2024-01-20,DEL-BOM,1324,66.0,1390.0
6E1422,2024-08-03,BOM-BLR,350,57.0,407.0
6E1423,2024-12-08,BLR-HYD,569,7.0,576.0
6E1424,2024-05-14,BLR-HYD,727,6.0,733.0
6E1425,2024-05-08,BOM-BLR,114,17.0,131.0
6E1426,2024-10-20,BOM-BLR,908,24.0,932.0
6E1427,2024-09-02,DEL-HYD,366,56.0,422.0
6E1428,2024-07-07,DEL-BOM,1292,56.0,1348.0
6E1429,2024-02-13,DEL-BLR,803,22.0,825.0
6E1430,2024-03-26,DEL-BOM,1109,42.0,1151.0
6E1431,2024-02-13,DEL-BOM,895,79.0,974.0
6E1432,2024-11-25,DEL-BLR,968,9.0,977.0
6E1433,2024-05-24,DEL-BOM,377,2.0,379.0
6E1434,2024-02-20,BLR-HYD,1170,10.0,1180.0
6E1435,2024-08-29,BLR-HYD,1011,41.0,1052.0
6E1436,2024-10-20,DEL-BLR,117,23.0,140.0
6E1437,2024-02-20,DEL-BLR,1013,38.0,1051.0
6E1438,2024-09-22,BOM-BLR,1158,5.0,1163.0
6E1439,2024-04-29,BOM-BLR,526,46.0,572.0
6E1440,2024-07-18,DEL-BOM,813,0.0,813.0
6E1441,2024-09-04,DEL-BOM,205,71.0,276.0
6E1442,2024-03-10,DEL-BLR,1256,72.0,1328.0
6E1443,2024-12-06,DEL-BOM,815,98.0,913.0
6E1444,2024-02-26,DEL-HYD,65,39.0,104.0
6E1445,2024-02-08,BLR-HYD,3,49.0,52.0
6E1446,2024-10-15,DEL-BOM,2,29.0,31.0
6E1447,2024-01-18,DEL-BOM,1282,60.0,1342.0
6E1448,2024-08-07,BOM-BLR,324,97.0,421.0
6E1449,2024-11-08,DEL-HYD,1263,84.0,1347.0
6E1450,2024-08-31,DEL-BOM,604,78.0,682.0
6E1451,2024-12-17,BLR-HYD,795,20.0,815.0
6E1452,2024-10-30,DEL-BOM,534,58.0,592.0
