Crew_ID,Date,Assigned_Flight,Duty_Type
C0011,2024-01-17,6E11408,Flying
C0263,2024-12-03,6E5345,Standby
C1048,2024-09-01,6E8566,Flying
C0908,2024-01-05,6E16769,Flying
C0840,2024-03-12,6E3811,Flying
C1165,2024-05-05,6E5552,Flying
C0454,2024-06-29,6E14410,Flying
C1140,2024-01-05,6E6201,Standby
C0280,2024-02-04,6E1454,Standby
C0550,2024-01-23,6E16637,Flying
C0199,2024-05-29,6E1215,Flying
C0670,2024-04-26,6E3082,Flying
C0286,2024-11-17,6E3970,Flying
C1152,2024-06-12,6E18793,Flying
C0885,2024-03-07,6E1714,Standby
C0258,2024-01-28,6E16609,Flying
C0776,2024-08-23,6E15972,Standby
C0657,2024-05-20,6E15958,Flying
C0511,2024-07-19,6E4462,Flying
C0560,2024-03-09,6E8780,Off
C0064,2024-08-19,6E1338,Off
C0701,2024-10-12,6E11953,Standby
C0141,2024-02-29,6E6358,Flying
C0978,2024-12-08,6E5560,Standby
C0740,2024-04-06,6E4401,Flying
C0107,2024-11-28,6E16651,Flying
C0213,2024-02-11,6E18296,Off
C1040,2024-04-14,6E13969,Flying
C0388,2024-10-30,6E12178,Flying
C0258,2024-12-26,6E16665,Flying
C1138,2024-07-22,6E12029,Flying
C0833,2024-05-29,6E14149,Flying
C0798,2024-09-04,6E6700,Standby
C0886,2024-11-24,6E6378,Flying
C0038,2024-04-04,6E7336,Standby
C0916,2024-02-19,6E11736,Flying
C1049,2024-07-09,6E6141,Standby
C0893,2024-06-24,6E18370,Flying
C1076,2024-11-17,6E10248,Standby
C0851,2024-02-05,6E15740,Flying
C1115,2024-10-11,6E7272,Flying
C1162,2024-04-07,6E10347,Flying
C0061,2024-06-23,6E16493,Flying
C0111,2024-04-30,6E11779,Off
C0258,2024-02-19,6E1459,Standby
C0135,2024-01-09,6E6996,Flying
C0060,2024-03-16,6E3035,Flying
C0189,2024-03-25,6E6113,Flying
C0336,2024-01-05,6E7614,Flying
C0625,2024-01-07,6E11345,Off
C1051,2024-02-06,6E14487,Standby
C1025,2024-09-02,6E8353,Flying
C0726,2024-01-03,6E8316,Flying
C0086,2024-05-22,6E2272,Flying
C0667,2024-03-23,6E4047,Flying
C0080,2024-09-15,6E10265,Flying
C0572,2024-12-05,6E7144,Flying
C0803,2024-11-30,6E15879,Flying
C0801,2024-04-11,6E15432,Off
C0875,2024-07-21,6E11667,Standby
C0175,2024-01-04,6E1208,Standby
C0866,2024-06-11,6E11251,Standby
C0864,2024-11-19,6E1102,Off
C1083,2024-02-05,6E13479,Off
C0406,2024-03-18,6E8571,Flying
C0487,2024-06-20,6E8123,Flying
C0754,2024-03-04,6E16790,Off
C0283,2024-07-13,6E17694,Flying
C0737,2024-01-20,6E14368,Flying
C0456,2024-11-23,6E12839,Flying
C0222,2024-09-10,6E9543,Standby
C0880,2024-07-03,6E14186,Flying
C0716,2024-09-12,6E5299,Flying
C1065,2024-02-24,6E10115,Flying
C0683,2024-09-26,6E16560,Flying
C0780,2024-05-08,6E5569,Flying
C0708,2024-02-26,6E2284,Flying
C0250,2024-12-05,6E8368,Flying
C0707,2024-01-14,6E12190,Standby
C0004,2024-02-20,6E16853,Flying
C0449,2024-12-13,6E13641,Flying
C0887,2024-12-24,6E4893,Flying
C0511,2024-02-27,6E9637,Standby
C0898,2024-04-28,6E17451,Off
C0046,2024-09-21,6E10082,Flying
C0331,2024-12-08,6E12212,Flying
C0126,2024-02-17,6E10063,Standby
C1161,2024-04-13,6E10748,Flying
C1167,2024-07-18,6E17003,Standby
C0585,2024-06-10,6E17479,Flying
C0350,2024-01-02,6E7810,Flying
C0278,2024-01-24,6E10542,Standby
C1118,2024-03-14,6E8196,Standby
C0330,2024-10-31,6E13984,Flying
C0478,2024-10-22,6E10696,Off
C1174,2024-09-07,6E6713,Flying
C0510,2024-01-08,6E13839,Standby
C0757,2024-11-20,6E3462,Flying
C0923,2024-03-07,6E3311,Standby
C0031,2024-08-12,6E1962,Flying
C1062,2024-02-21,6E1162,Flying
C0551,2024-10-21,6E15181,Flying
C0676,2024-03-11,6E1330,Standby
C0356,2024-03-25,6E10971,Flying
C0961,2024-08-17,6E2007,Off
C0267,2024-01-13,6E11355,Flying
C0290,2024-03-29,6E11838,Standby
C1044,2024-05-09,6E13996,Standby
C0063,2024-09-27,6E4485,Off
C0170,2024-09-30,6E10124,Flying
C0013,2024-03-09,6E4526,Flying
C0649,2024-12-11,6E5724,Flying
C0389,2024-10-12,6E8264,Flying
C0736,2024-03-18,6E10983,Flying
C0357,2024-05-12,6E11241,Flying
C0633,2024-07-10,6E3052,Flying
C1195,2024-12-28,6E11982,Flying
C0198,2024-09-20,6E10212,Standby
C1193,2024-09-18,6E18038,Off
C0157,2024-03-30,6E9663,Flying
C0270,2024-07-14,6E4740,Flying
C0062,2024-11-09,6E9796,Standby
C0498,2024-06-28,6E18108,Flying
C0738,2024-08-14,6E17536,Flying
C0117,2024-10-09,6E4261,Flying
C0915,2024-12-12,6E17251,Flying
C0982,2024-06-20,6E11892,Flying
C0718,2024-04-16,6E15525,Off
C0868,2024-03-09,6E17293,Standby
C0301,2024-12-25,6E10599,Flying
C0327,2024-05-18,6E4256,Standby
C0950,2024-09-10,6E2278,Flying
C0733,2024-02-12,6E11784,Flying
C0522,2024-05-05,6E3359,Flying
C1028,2024-10-17,6E18803,Flying
C0181,2024-08-17,6E11204,Standby
C1109,2024-11-05,6E7044,Flying
C0486,2024-11-01,6E4131,Flying
C0532,2024-07-07,6E12415,Flying
C0711,2024-08-16,6E13728,Flying
C0096,2024-04-24,6E11754,Off
C1120,2024-12-22,6E3756,Flying
C0790,2024-06-02,6E1554,Off
C0089,2024-12-18,6E2146,Standby
C0947,2024-06-09,6E2035,Off
C0923,2024-05-30,6E14454,Flying
C0524,2024-07-17,6E5389,Flying
C0028,2024-09-28,6E13396,Off
C0275,2024-08-22,6E5367,Flying
C0555,2024-01-28,6E18380,Flying
C0465,2024-05-19,6E6823,Flying
C0099,2024-02-11,6E14966,Flying
C0655,2024-01-09,6E18631,Standby
C0453,2024-02-27,6E18471,Flying
C0292,2024-12-30,6E12193,Flying
C1018,2024-11-27,6E15586,Flying
C0301,2024-07-19,6E3639,Flying
C0174,2024-05-26,6E18063,Flying
C0030,2024-06-12,6E8480,Flying
C0251,2024-11-28,6E16903,Standby
C0621,2024-03-06,6E3633,Flying
C0344,2024-12-25,6E1399,Flying
C1061,2024-02-26,6E13164,Flying
C1003,2024-11-08,6E9062,Flying
C0346,2024-04-17,6E15779,Flying
C1121,2024-10-07,6E9275,Flying
C0536,2024-05-20,6E3956,Standby
C0344,2024-07-05,6E8275,Flying
C0867,2024-09-25,6E18393,Off
C0086,2024-06-03,6E16141,Flying
C1185,2024-08-16,6E17026,Flying
C1041,2024-03-23,6E8529,Off
C0244,2024-12-07,6E4363,Flying
C0780,2024-06-28,6E3074,Flying
C0006,2024-05-24,6E10525,Off
C0963,2024-06-27,6E6019,Standby
C0381,2024-01-02,6E10667,Flying
C0779,2024-05-19,6E14126,Flying
C0124,2024-08-12,6E12278,Flying
C1084,2024-06-04,6E11216,Flying
C0501,2024-08-07,6E2308,Flying
C0010,2024-08-10,6E1742,Flying
C0971,2024-06-07,6E11237,Flying
C0596,2024-12-29,6E7760,Flying
C1171,2024-09-13,6E14103,Flying
C0457,2024-02-04,6E12333,Flying
C0612,2024-12-18,6E16256,Standby
C0727,2024-01-01,6E15183,Flying
C0597,2024-01-09,6E17168,Flying
C1029,2024-02-13,6E14670,Flying
C0287,2024-02-22,6E3125,Standby
C0207,2024-08-16,6E10938,Standby
C0550,2024-06-23,6E8220,Flying
C0692,2024-07-25,6E3604,Flying
C0911,2024-04-22,6E18506,Flying
C1043,2024-08-08,6E8099,Off
C1187,2024-03-25,6E10295,Flying
C0714,2024-02-15,6E4573,Flying
C0882,2024-09-30,6E3619,Flying
C0600,2024-09-07,6E12834,Flying
C1199,2024-08-06,6E16527,Flying
C0952,2024-07-05,6E5352,Flying
C0243,2024-05-03,6E2779,Flying
C0660,2024-11-30,6E13516,Off
C0997,2024-11-03,6E15333,Flying
C0971,2024-04-20,6E2045,Standby
C0651,2024-09-21,6E9002,Standby
C0886,2024-10-10,6E18866,Flying
C0103,2024-03-06,6E9746,Standby
C0770,2024-07-31,6E1062,Flying
C0148,2024-11-26,6E14188,Flying
C0819,2024-12-17,6E10579,Flying
C1010,2024-10-04,6E12800,Flying
C0670,2024-02-04,6E6413,Standby
C1200,2024-04-15,6E11895,Off
C0769,2024-07-26,6E2759,Flying
C0419,2024-06-07,6E1604,Flying
C0777,2024-07-09,6E14893,Flying
C1137,2024-11-10,6E14806,Flying
C1192,2024-05-17,6E5454,Flying
C0533,2024-12-25,6E11052,Standby
C1104,2024-02-05,6E5934,Flying
C0908,2024-07-31,6E1359,Flying
C0228,2024-11-23,6E5919,Flying
C1061,2024-02-16,6E12216,Flying
C0990,2024-08-23,6E10597,Flying
C1176,2024-02-16,6E15547,Standby
C0178,2024-04-06,6E14976,Flying
C0468,2024-08-19,6E12994,Standby
C0622,2024-01-22,6E13590,Flying
C1133,2024-10-29,6E13615,Flying
C0156,2024-05-03,6E13181,Standby
C0260,2024-08-22,6E14674,Flying
C0396,2024-06-30,6E16044,Flying
C0933,2024-08-05,6E8727,Off
C0260,2024-09-22,6E17710,Flying
C0271,2024-06-12,6E9728,Flying
C0412,2024-10-10,6E14400,Flying
C1061,2024-06-18,6E6997,Flying
C0393,2024-04-04,6E10641,Off
C0195,2024-05-24,6E9783,Flying
C0367,2024-10-30,6E9511,Flying
C0894,2024-11-03,6E14426,Flying
C0594,2024-04-05,6E6835,Flying
C0562,2024-07-06,6E2066,Standby
C1102,2024-02-20,6E10022,Flying
C0537,2024-11-02,6E9905,Flying
C0572,2024-05-12,6E9280,Flying
C0308,2024-12-27,6E10859,Flying
C0582,2024-04-28,6E13871,Flying
C0666,2024-03-04,6E2286,Flying
C0560,2024-09-23,6E3437,Flying
C0566,2024-08-12,6E2961,Flying
C1138,2024-02-23,6E3708,Off
C0277,2024-01-04,6E16361,Flying
C0462,2024-10-30,6E13917,Flying
C0622,2024-02-24,6E12772,Flying
C1096,2024-02-02,6E1997,Flying
C0015,2024-05-08,6E3576,Flying
C0042,2024-07-31,6E5494,Flying
C0020,2024-01-29,6E16803,Flying
C1040,2024-07-13,6E8886,Flying
C0647,2024-03-06,6E16086,Flying
C0607,2024-04-04,6E11179,Flying
C0093,2024-05-06,6E14000,Off
C0081,2024-03-11,6E11155,Flying
C1102,2024-08-30,6E13154,Standby
C0658,2024-12-14,6E9366,Flying
C0495,2024-03-01,6E13650,Standby
C0026,2024-08-30,6E15887,Flying
C0656,2024-07-21,6E11100,Flying
C0456,2024-03-29,6E1584,Standby
C1101,2024-07-29,6E6141,Flying
C0314,2024-11-26,6E12964,Off
C0352,2024-02-14,6E18829,Flying
C0923,2024-10-17,6E2658,Flying
C0303,2024-10-15,6E8058,Flying
C0327,2024-03-09,6E5291,Flying
C0123,2024-07-13,6E14138,Flying
C0178,2024-08-10,6E16494,Flying
C1032,2024-05-19,6E2675,Flying
C0002,2024-11-19,6E13890,Flying
C1170,2024-06-08,6E2620,Standby
C0548,2024-04-23,6E13597,Flying
C0631,2024-08-29,6E7482,Flying
C0482,2024-01-24,6E13402,Standby
C1066,2024-11-02,6E8880,Flying
C0571,2024-08-15,6E18444,Flying
C0692,2024-07-12,6E2329,Flying
C0221,2024-01-12,6E11620,Standby
C0049,2024-04-14,6E14192,Flying
C0952,2024-04-30,6E2412,Flying
C0360,2024-08-04,6E1264,Off
C0752,2024-05-07,6E9426,Flying
C0640,2024-06-20,6E15365,Off
C1052,2024-10-27,6E9525,Flying
C0093,2024-07-03,6E12451,Flying
C0691,2024-02-14,6E10474,Standby
C0539,2024-05-01,6E15487,Flying
C0639,2024-09-30,6E10883,Flying
C0098,2024-02-20,6E16014,Flying
C0418,2024-04-06,6E18226,Off
C0300,2024-12-14,6E4153,Flying
C0560,2024-10-11,6E14810,Off
C0784,2024-12-07,6E9912,Flying
C0815,2024-03-16,6E1664,Flying
C0110,2024-07-09,6E16720,Flying
C0527,2024-06-10,6E15605,Flying
C0504,2024-03-08,6E1468,Flying
C1126,2024-09-17,6E5362,Standby
C0606,2024-11-25,6E6806,Flying
C0219,2024-04-30,6E15618,Off
C0129,2024-06-01,6E11856,Flying
C0604,2024-07-08,6E13358,Off
C0555,2024-07-20,6E10489,Flying
C0782,2024-03-19,6E14819,Flying
C0482,2024-06-16,6E17914,Standby
C0248,2024-10-13,6E6706,Flying
C0944,2024-04-26,6E1756,Off
C1092,2024-07-27,6E6361,Off
C0092,2024-07-22,6E6263,Flying
C0529,2024-09-17,6E4291,Flying
C0514,2024-08-17,6E14030,Flying
C0440,2024-08-18,6E2323,Flying
C0833,2024-04-24,6E18850,Flying
C0439,2024-03-13,6E2437,Standby
C0631,2024-11-02,6E7768,Flying
C1131,2024-12-02,6E17979,Standby
C0629,2024-06-05,6E14320,Standby
C0969,2024-06-27,6E1124,Standby
C0932,2024-11-06,6E14188,Flying
C1033,2024-03-21,6E6854,Standby
C0142,2024-11-29,6E12691,Flying
C1118,2024-09-03,6E10429,Off
C0925,2024-04-20,6E14121,Off
C0705,2024-12-12,6E1633,Flying
C0924,2024-04-24,6E18905,Standby
C0288,2024-02-08,6E9110,Standby
C0267,2024-08-27,6E2883,Flying
C0927,2024-07-30,6E17969,Flying
C0225,2024-09-21,6E9798,Flying
C0965,2024-06-29,6E15260,Flying
C0169,2024-06-27,6E6682,Flying
C0323,2024-08-28,6E1428,Flying
C0095,2024-12-04,6E3479,Flying
C0362,2024-02-21,6E18014,Flying
C0959,2024-05-19,6E2105,Flying
C0670,2024-11-17,6E10227,Flying
C0511,2024-12-21,6E15542,Off
C0267,2024-10-03,6E17428,Off
C0800,2024-06-16,6E3651,Standby
C0133,2024-08-22,6E5287,Flying
C0349,2024-01-11,6E1683,Standby
C0547,2024-03-01,6E4854,Standby
C0763,2024-10-10,6E16739,Off
C0268,2024-09-17,6E16074,Flying
C1006,2024-01-15,6E10616,Flying
C1068,2024-12-02,6E12237,Flying
C1163,2024-10-23,6E13501,Flying
C0266,2024-03-18,6E1151,Flying
C0170,2024-12-26,6E9180,Flying
C0117,2024-12-02,6E11280,Standby
C0434,2024-06-20,6E8770,Off
C0088,2024-05-14,6E13782,Flying
C0964,2024-09-07,6E3113,Standby
C0234,2024-12-17,6E3111,Flying
C0609,2024-02-13,6E7599,Flying
C0530,2024-09-18,6E16499,Off
C1135,2024-07-12,6E9405,Off
C0238,2024-01-04,6E18693,Flying
C0364,2024-03-04,6E7013,Flying
C0409,2024-09-17,6E17995,Flying
C1003,2024-06-13,6E13300,Flying
C0218,2024-04-12,6E13142,Flying
C0403,2024-06-02,6E10345,Off
C0345,2024-06-06,6E7688,Standby
C0484,2024-09-19,6E16107,Flying
C0113,2024-04-20,6E9631,Flying
C1042,2024-03-27,6E11680,Flying
C0219,2024-05-27,6E3827,Flying
C0161,2024-09-27,6E14455,Flying
C1094,2024-06-04,6E8394,Flying
C1031,2024-11-18,6E3487,Flying
C1025,2024-05-10,6E17378,Flying
C0099,2024-07-03,6E16176,Flying
C0599,2024-02-24,6E7274,Standby
C0315,2024-07-10,6E6299,Flying
C1058,2024-02-26,6E6607,Flying
C0226,2024-02-05,6E9914,Off
C0479,2024-09-21,6E10389,Flying
C0491,2024-06-11,6E9478,Flying
C0223,2024-03-28,6E14291,Flying
C0520,2024-05-18,6E1541,Flying
C0243,2024-01-01,6E12214,Flying
C0088,2024-09-21,6E18935,Flying
C0983,2024-05-04,6E5263,Flying
C0480,2024-04-29,6E13304,Flying
C0309,2024-11-28,6E16349,Flying
C0655,2024-01-29,6E13898,Flying
C0540,2024-10-28,6E7519,Flying
C1166,2024-10-14,6E3841,Flying
C0090,2024-06-07,6E16138,Flying
C1010,2024-08-05,6E1462,Flying
C0313,2024-12-25,6E14710,Flying
C0180,2024-07-25,6E18735,Flying
C0549,2024-12-27,6E12508,Flying
C0002,2024-08-30,6E17014,Flying
C1058,2024-09-18,6E3164,Flying
C0226,2024-06-05,6E4527,Off
C0957,2024-06-07,6E12250,Flying
C0364,2024-07-20,6E6379,Flying
C0885,2024-09-11,6E11688,Off
C0950,2024-04-29,6E10496,Flying
C0116,2024-12-25,6E1482,Flying
C0114,2024-09-11,6E16495,Standby
C0595,2024-05-11,6E12664,Flying
C0479,2024-12-14,6E15363,Standby
C0720,2024-05-07,6E15277,Flying
C0107,2024-05-15,6E14162,Standby
C0315,2024-12-25,6E4589,Flying
C1176,2024-11-16,6E2846,Flying
C1184,2024-12-28,6E5808,Flying
C0075,2024-02-06,6E16310,Off
C0682,2024-03-27,6E8207,Standby
C0187,2024-07-25,6E14907,Flying
C0339,2024-08-08,6E10289,Flying
C1193,2024-06-19,6E16222,Flying
C0825,2024-05-18,6E15350,Flying
C0053,2024-03-19,6E1680,Flying
C0257,2024-07-07,6E15857,Standby
C0046,2024-04-17,6E17359,Flying
C0015,2024-04-19,6E15628,Flying
C0849,2024-10-20,6E13031,Standby
C0628,2024-06-24,6E8604,Flying
C0012,2024-05-07,6E3205,Flying
C0001,2024-12-30,6E5026,Standby
C0077,2024-01-24,6E16310,Flying
C0542,2024-08-01,6E17606,Flying
C0996,2024-12-03,6E14179,Flying
C0902,2024-03-13,6E12645,Flying
C0841,2024-08-08,6E7594,Flying
C0050,2024-12-17,6E14400,Flying
C1030,2024-05-19,6E3899,Flying
C0075,2024-04-14,6E18448,Flying
C0346,2024-05-24,6E15618,Flying
C0333,2024-08-04,6E6387,Flying
C0678,2024-09-26,6E17800,Off
C0844,2024-06-01,6E7297,Off
C0851,2024-09-25,6E9563,Flying
C0268,2024-10-19,6E10100,Off
C0756,2024-09-22,6E16835,Standby
C0599,2024-03-13,6E6395,Flying
C0612,2024-05-03,6E10823,Flying
C0698,2024-04-09,6E2263,Flying
C0278,2024-09-17,6E1655,Flying
C0685,2024-01-13,6E8329,Flying
C0318,2024-01-20,6E10789,Flying
C1066,2024-01-28,6E1599,Off
C1091,2024-04-24,6E14491,Standby
C0905,2024-07-25,6E5919,Flying
C0143,2024-10-03,6E2734,Flying
C0154,2024-07-10,6E7955,Off
C1118,2024-01-17,6E1449,Flying
C0378,2024-07-16,6E4863,Flying
C0761,2024-04-19,6E17344,Flying
C0534,2024-01-25,6E7259,Standby
C0637,2024-03-14,6E4698,Standby
C0826,2024-01-19,6E18214,Flying
C0693,2024-09-23,6E12601,Flying
C0787,2024-02-01,6E13322,Flying
C0162,2024-09-22,6E16023,Flying
C0466,2024-08-26,6E8340,Flying
C0278,2024-08-13,6E18110,Flying
C0472,2024-04-24,6E14852,Flying
C0141,2024-02-13,6E15559,Standby
C0810,2024-04-02,6E11384,Standby
C0834,2024-04-02,6E12246,Flying
C0703,2024-08-01,6E3105,Off
C0170,2024-11-29,6E6382,Flying
C0219,2024-09-14,6E18557,Off
C0034,2024-09-24,6E5099,Flying
C0285,2024-03-26,6E7106,Standby
C1060,2024-03-05,6E8135,Flying
C0265,2024-08-29,6E15434,Flying
C0853,2024-03-16,6E11609,Flying
C0007,2024-11-27,6E12927,Flying
C0023,2024-03-08,6E12576,Off
C0535,2024-09-29,6E2519,Flying
C0069,2024-06-29,6E13624,Standby
C0013,2024-08-27,6E1175,Off
C0258,2024-05-01,6E15551,Flying
C0720,2024-02-21,6E15692,Flying
