Crew_ID,Date,Standby_Type,Utilized
C0801,2024-01-27,Home,Yes
C0229,2024-08-12,Airport,Yes
C0972,2024-07-29,Home,Yes
C0079,2024-01-01,Home,Yes
C0455,2024-08-24,Home,Yes
C1041,2024-11-19,Home,Yes
C0279,2024-11-09,Home,Yes
C0215,2024-08-06,Home,Yes
C0963,2024-07-01,Home,Yes
C0251,2024-08-21,Home,Yes
C0941,2024-03-27,Airport,Yes
C0372,2024-03-08,Home,No
C0473,2024-05-27,Home,Yes
C0954,2024-05-19,Airport,Yes
C1140,2024-11-15,Airport,Yes
C0064,2024-04-04,Home,Yes
C0275,2024-03-13,Home,Yes
C0573,2024-07-23,Airport,No
C0948,2024-08-12,Home,Yes
C0842,2024-06-16,Home,Yes
C1103,2024-09-02,Airport,Yes
C0693,2024-06-06,Airport,No
C0674,2024-05-02,Airport,No
C0500,2024-05-29,Airport,No
C0280,2024-01-07,Airport,Yes
C1157,2024-08-30,Home,Yes
C1115,2024-02-05,Home,Yes
C0736,2024-07-27,Home,No
C0062,2024-01-09,Home,Yes
C0882,2024-10-25,Airport,No
C0850,2024-05-11,Home,Yes
C0456,2024-02-07,Airport,No
C0606,2024-03-22,Airport,No
C0816,2024-09-01,Home,No
C0312,2024-09-14,Home,Yes
C0285,2024-09-23,Airport,Yes
C0538,2024-06-06,Home,Yes
C0506,2024-06-20,Home,No
C0968,2024-12-12,Home,No
C0790,2024-01-15,Home,No
C0816,2024-08-03,Airport,Yes
C0800,2024-07-29,Airport,Yes
C0118,2024-06-30,Home,Yes
C0356,2024-06-04,Airport,Yes
C0719,2024-11-23,Home,No
C0211,2024-10-07,Airport,Yes
C0762,2024-09-07,Airport,No
C0529,2024-07-28,Airport,Yes
C0166,2024-09-21,Home,No
C0347,2024-05-15,Airport,Yes
C1013,2024-06-19,Airport,Yes
C0137,2024-01-22,Airport,Yes
C0066,2024-11-08,Home,Yes
C1155,2024-09-14,Airport,No
C0026,2024-05-04,Airport,Yes
C1132,2024-04-30,Home,Yes
C0513,2024-08-16,Airport,Yes
C1171,2024-12-20,Airport,No
C0635,2024-09-23,Home,No
C0314,2024-12-08,Home,Yes
C0700,2024-04-16,Airport,Yes
C0858,2024-07-01,Home,Yes
C0053,2024-10-01,Home,Yes
C0599,2024-11-02,Home,Yes
C0741,2024-06-18,Home,No
C0531,2024-05-31,Airport,No
C0412,2024-01-10,Airport,No
C0387,2024-05-25,Home,No
C0696,2024-04-18,Airport,Yes
C0347,2024-03-23,Home,Yes
C0854,2024-03-28,Airport,No
C0465,2024-01-25,Airport,Yes
C0206,2024-10-22,Home,Yes
C0223,2024-03-03,Home,Yes
C1085,2024-07-09,Home,No
C0711,2024-02-04,Home,Yes
C0549,2024-06-04,Home,Yes
C0209,2024-04-14,Airport,Yes
C0194,2024-12-08,Home,Yes
C1027,2024-07-22,Home,No
C0213,2024-03-30,Home,No
C1019,2024-09-12,Airport,No
C0549,2024-08-31,Home,No
C0267,2024-10-03,Airport,Yes
C0763,2024-11-07,Home,Yes
C0764,2024-04-27,Airport,No
C1171,2024-10-28,Airport,Yes
C1076,2024-05-28,Home,Yes
C0284,2024-12-08,Home,No
C0594,2024-10-23,Airport,Yes
C0107,2024-03-10,Home,No
C0147,2024-03-03,Home,No
C0334,2024-01-29,Home,Yes
C0769,2024-03-05,Airport,Yes
C0183,2024-05-16,Home,No
C0485,2024-04-28,Home,Yes
C1067,2024-10-06,Airport,Yes
C0107,2024-10-08,Home,Yes
C0508,2024-09-03,Airport,No
C0348,2024-09-28,Home,Yes
C0520,2024-07-17,Home,Yes
C0215,2024-01-17,Home,Yes
C1113,2024-08-17,Airport,Yes
C0841,2024-02-03,Home,Yes
C1006,2024-10-01,Home,No
C0672,2024-05-15,Home,No
C0102,2024-05-30,Airport,No
C0940,2024-09-28,Airport,Yes
C0260,2024-07-04,Home,Yes
C0825,2024-05-21,Home,Yes
C0370,2024-03-22,Airport,No
C0856,2024-04-22,Home,No
C1090,2024-03-29,Airport,No
C0999,2024-03-01,Home,Yes
C0265,2024-02-24,Airport,Yes
C0728,2024-12-01,Home,Yes
C0463,2024-10-26,Airport,Yes
C0391,2024-10-07,Home,Yes
C0824,2024-08-11,Airport,No
C0420,2024-01-25,Home,Yes
C0463,2024-11-11,Home,Yes
C0808,2024-10-07,Home,Yes
C0684,2024-07-09,Airport,Yes
C0938,2024-08-15,Home,Yes
C1058,2024-11-03,Airport,Yes
C0827,2024-04-09,Airport,Yes
C0321,2024-04-30,Airport,No
C0374,2024-09-09,Airport,Yes
C0094,2024-04-13,Airport,No
C0732,2024-12-01,Home,No
C0156,2024-05-13,Airport,No
C0016,2024-01-14,Airport,Yes
C0535,2024-08-04,Home,Yes
C0163,2024-12-29,Home,No
C1048,2024-12-13,Airport,Yes
C1013,2024-01-06,Home,Yes
C1045,2024-09-12,Airport,No
C1179,2024-11-25,Home,No
C0045,2024-08-25,Home,Yes
C0677,2024-03-15,Home,No
C0538,2024-09-24,Airport,No
C0178,2024-01-09,Airport,Yes
C0889,2024-08-06,Airport,No
C0422,2024-09-11,Home,Yes
C0379,2024-04-15,Airport,No
C1035,2024-02-16,Home,No
C0762,2024-02-09,Home,No
C0843,2024-09-08,Airport,No
C0645,2024-11-23,Home,Yes
C0270,2024-09-13,Airport,No
C0760,2024-02-01,Home,Yes
C0673,2024-11-09,Airport,No
C0061,2024-10-14,Home,Yes
C0588,2024-02-15,Airport,Yes
C0526,2024-03-09,Home,No
C1080,2024-12-12,Airport,Yes
C0080,2024-06-17,Home,No
C0085,2024-09-05,Airport,No
C0237,2024-11-08,Airport,Yes
C0484,2024-08-14,Home,Yes
C0051,2024-02-17,Airport,Yes
C0491,2024-12-10,Airport,No
C1003,2024-02-19,Home,Yes
C0282,2024-10-06,Airport,No
C1013,2024-03-31,Airport,No
C0891,2024-07-17,Airport,No
C0895,2024-08-05,Home,No
C1101,2024-01-21,Home,No
C0716,2024-09-28,Home,Yes
C0357,2024-11-21,Home,No
C0084,2024-05-04,Home,Yes
C0169,2024-09-14,Airport,No
C0856,2024-09-28,Home,Yes
C0781,2024-09-27,Airport,Yes
C0493,2024-09-28,Airport,Yes
C0603,2024-08-11,Home,Yes
C0799,2024-08-16,Airport,No
C0833,2024-03-08,Home,Yes
C0803,2024-07-04,Airport,Yes
C0632,2024-03-25,Home,Yes
C0512,2024-10-09,Airport,No
C1196,2024-10-06,Home,Yes
C1081,2024-07-16,Airport,No
C0854,2024-06-10,Home,No
C0268,2024-07-28,Home,No
C0984,2024-10-03,Home,Yes
C0645,2024-06-06,Airport,Yes
C0722,2024-02-10,Airport,Yes
C0762,2024-09-06,Home,Yes
C0410,2024-09-18,Home,No
C0455,2024-01-15,Home,No
C0275,2024-01-18,Home,No
C0335,2024-01-10,Airport,No
C0969,2024-03-07,Airport,No
C0725,2024-12-12,Airport,No
C0098,2024-12-09,Airport,Yes
C0662,2024-09-10,Home,Yes
C0002,2024-03-02,Airport,No
C0077,2024-12-15,Home,Yes
C0494,2024-07-10,Airport,Yes
C0322,2024-11-23,Airport,Yes
C0767,2024-11-26,Airport,No
C0786,2024-10-17,Airport,Yes
C0011,2024-09-27,Home,Yes
C0271,2024-09-21,Home,Yes
C0241,2024-06-16,Home,Yes
C0057,2024-07-22,Home,Yes
C0356,2024-01-14,Airport,Yes
C0381,2024-11-07,Home,No
C1042,2024-01-06,Home,Yes
C0087,2024-07-23,Home,Yes
C0554,2024-10-01,Home,Yes
C0899,2024-05-23,Airport,Yes
C0662,2024-10-11,Airport,No
C0187,2024-10-31,Home,No
C0560,2024-07-12,Airport,No
C0941,2024-04-06,Home,No
C0733,2024-12-17,Home,Yes
C0679,2024-05-08,Home,Yes
C0836,2024-05-09,Airport,Yes
C1038,2024-02-15,Home,Yes
C0455,2024-09-09,Airport,No
C0778,2024-12-25,Airport,Yes
C0479,2024-06-14,Home,No
C0107,2024-06-03,Airport,Yes
C1037,2024-12-03,Airport,No
C0981,2024-02-09,Home,No
C0452,2024-09-16,Home,Yes
C0318,2024-01-16,Airport,No
C0662,2024-09-09,Airport,No
C0463,2024-04-28,Airport,Yes
C0639,2024-11-15,Home,Yes
C1155,2024-02-09,Home,Yes
C0437,2024-10-14,Airport,Yes
C0342,2024-03-26,Home,No
C0310,2024-01-31,Home,Yes
C1193,2024-11-30,Home,No
C1049,2024-06-19,Home,Yes
C0852,2024-01-24,Home,No
C0054,2024-07-19,Home,Yes
C0404,2024-09-15,Home,Yes
C0828,2024-03-07,Home,Yes
C0580,2024-03-06,Airport,No
C0100,2024-12-25,Airport,No
C1140,2024-12-16,Home,No
C0690,2024-04-14,Home,No
C0314,2024-03-21,Airport,No
C0796,2024-03-14,Airport,Yes
C0466,2024-04-11,Home,Yes
C1013,2024-12-10,Home,Yes
C0715,2024-05-18,Home,No
C1002,2024-06-13,Home,Yes
C0513,2024-12-14,Home,Yes
C0323,2024-05-18,Airport,Yes
C1132,2024-06-11,Home,Yes
C0324,2024-06-26,Airport,Yes
C0560,2024-12-13,Home,Yes
C0358,2024-11-28,Airport,No
C0787,2024-10-15,Airport,Yes
C0841,2024-01-14,Home,No
C1176,2024-08-06,Home,Yes
C0991,2024-08-10,Home,No
C0297,2024-10-18,Home,Yes
C0976,2024-07-22,Home,No
C0041,2024-12-16,Airport,No
C0314,2024-07-12,Home,No
C0264,2024-05-10,Home,No
C1139,2024-06-19,Home,Yes
C0520,2024-04-04,Airport,Yes
C0930,2024-02-25,Home,Yes
C0268,2024-06-08,Home,Yes
C1188,2024-02-29,Home,Yes
C0544,2024-08-25,Home,Yes
C0570,2024-07-09,Home,Yes
C0414,2024-04-13,Home,No
C0924,2024-08-28,Home,No
C0778,2024-12-04,Airport,Yes
C1106,2024-04-10,Home,No
C0643,2024-10-10,Home,Yes
C0149,2024-10-15,Home,No
C0287,2024-07-02,Home,No
C0867,2024-07-30,Home,Yes
C1091,2024-08-14,Home,No
C0165,2024-06-29,Home,No
C0387,2024-06-11,Airport,No
C0609,2024-12-10,Home,No
C0735,2024-06-02,Airport,Yes
C0972,2024-08-25,Home,No
C0712,2024-10-20,Home,Yes
C0167,2024-01-27,Airport,No
C0942,2024-03-22,Home,Yes
C0082,2024-01-26,Home,Yes
C1003,2024-11-13,Home,No
C0664,2024-05-14,Home,No
C0561,2024-01-17,Home,Yes
C0083,2024-01-10,Home,Yes
C0855,2024-09-22,Airport,Yes
C1112,2024-11-21,Home,Yes
C0212,2024-10-18,Airport,Yes
C0286,2024-10-19,Airport,No
C0347,2024-04-16,Airport,Yes
C0475,2024-05-01,Home,Yes
C1023,2024-08-13,Airport,Yes
C0561,2024-01-25,Airport,No
C1153,2024-01-01,Home,No
C0365,2024-02-24,Airport,No
C0903,2024-08-27,Home,Yes
C0017,2024-11-05,Home,No
C0927,2024-02-04,Airport,No
C0997,2024-09-23,Airport,Yes
C0653,2024-12-15,Airport,Yes
C0668,2024-11-09,Home,Yes
C0911,2024-12-14,Airport,Yes
C0338,2024-07-03,Airport,Yes
C0324,2024-05-16,Home,Yes
C0694,2024-08-30,Home,No
C0519,2024-12-04,Airport,Yes
C0245,2024-05-29,Home,Yes
C0408,2024-01-16,Home,Yes
C0618,2024-12-07,Home,No
C0335,2024-11-03,Airport,Yes
C1026,2024-12-21,Home,No
C1024,2024-12-28,Home,No
C0673,2024-02-14,Airport,Yes
C0554,2024-07-12,Home,Yes
C0699,2024-05-27,Airport,No
C0956,2024-10-02,Airport,Yes
C0935,2024-03-31,Home,No
C0385,2024-09-28,Home,No
C0090,2024-12-24,Airport,Yes
C0545,2024-10-20,Airport,Yes
C0809,2024-07-31,Home,No
C0389,2024-06-12,Home,Yes
C0217,2024-04-04,Airport,Yes
C0088,2024-06-17,Home,No
C0736,2024-12-27,Home,No
C1097,2024-11-26,Home,No
C0601,2024-02-02,Home,Yes
C0090,2024-11-12,Home,Yes
C0873,2024-08-30,Airport,Yes
C0700,2024-11-09,Home,Yes
C0321,2024-01-04,Home,Yes
C0114,2024-07-03,Home,No
C0798,2024-11-15,Home,Yes
C0412,2024-11-04,Home,No
C0500,2024-10-03,Home,Yes
C0375,2024-08-19,Home,No
C1129,2024-02-23,Home,No
C1184,2024-06-27,Home,No
C0162,2024-07-01,Home,Yes
C0964,2024-02-08,Airport,Yes
C0274,2024-10-07,Home,No
C0040,2024-11-11,Airport,No
C0816,2024-10-16,Airport,Yes
C0656,2024-06-22,Home,Yes
C0326,2024-07-21,Home,No
C0075,2024-05-30,Home,No
C1127,2024-09-09,Airport,Yes
C0320,2024-01-29,Home,No
C1197,2024-08-15,Home,Yes
C0383,2024-08-31,Home,Yes
C0375,2024-10-07,Airport,No
C0568,2024-04-21,Airport,Yes
C0578,2024-10-02,Home,Yes
C0519,2024-05-14,Airport,No
C0108,2024-03-07,Home,Yes
C0573,2024-04-06,Airport,No
C0392,2024-03-21,Airport,No
C0991,2024-04-08,Airport,Yes
C0250,2024-04-12,Home,Yes
C0833,2024-07-07,Home,Yes
C0715,2024-02-11,Home,No
C0896,2024-05-12,Airport,Yes
C0614,2024-11-02,Home,No
C0639,2024-02-04,Airport,No
C1085,2024-11-08,Home,No
C0517,2024-09-08,Airport,Yes
C0287,2024-11-10,Home,Yes
C0979,2024-07-18,Airport,No
C0240,2024-02-18,Airport,Yes
C0176,2024-12-23,Home,No
C0994,2024-10-20,Airport,No
C0779,2024-01-21,Airport,Yes
C0236,2024-04-08,Airport,No
C0474,2024-01-20,Airport,No
C0774,2024-06-21,Home,Yes
C0569,2024-08-17,Home,Yes
C0541,2024-05-02,Home,Yes
C0876,2024-08-31,Airport,No
C0728,2024-01-14,Home,Yes
C0832,2024-11-21,Airport,Yes
C1131,2024-05-06,Home,Yes
C0223,2024-06-27,Home,Yes
C0819,2024-09-15,Home,Yes
C0375,2024-09-15,Airport,Yes
C0081,2024-06-30,Home,Yes
C0949,2024-02-03,Home,Yes
C0103,2024-07-04,Home,Yes
C0434,2024-08-22,Home,No
C0432,2024-01-03,Airport,No
C1135,2024-08-08,Airport,No
C0675,2024-01-21,Airport,No
C1053,2024-03-25,Home,No
C0834,2024-01-03,Airport,Yes
C0655,2024-06-13,Home,No
C1001,2024-01-17,Airport,No
C0845,2024-09-22,Airport,No
C0022,2024-10-26,Airport,Yes
C0828,2024-02-20,Home,Yes
C0091,2024-05-15,Home,Yes
C1056,2024-06-18,Airport,Yes
C0915,2024-04-23,Home,No
C0390,2024-07-22,Home,Yes
C1178,2024-01-14,Home,Yes
C0508,2024-05-24,Home,No
C0605,2024-09-05,Home,Yes
C1030,2024-01-17,Airport,Yes
C0715,2024-12-15,Home,Yes
C0111,2024-06-20,Home,Yes
C0772,2024-09-25,Airport,Yes
C0895,2024-01-06,Home,Yes
C0062,2024-07-29,Home,No
C0021,2024-01-26,Home,Yes
C0015,2024-07-23,Airport,No
C0650,2024-09-01,Airport,No
C0750,2024-06-06,Airport,Yes
C0529,2024-05-03,Home,No
C0001,2024-08-17,Home,No
C0542,2024-11-01,Home,No
C0497,2024-10-05,Airport,Yes
C0646,2024-07-15,Airport,No
C1067,2024-01-11,Home,No
C0992,2024-09-10,Home,No
C0947,2024-09-29,Airport,Yes
C0100,2024-12-26,Home,Yes
C0063,2024-10-02,Home,No
C1157,2024-01-30,Home,Yes
C0545,2024-03-23,Home,Yes
C0170,2024-10-13,Home,Yes
C0471,2024-07-17,Airport,No
C0606,2024-08-24,Home,No
C1112,2024-03-08,Home,Yes
C0903,2024-03-12,Home,Yes
C0196,2024-01-12,Airport,No
C0607,2024-11-11,Home,Yes
C0539,2024-05-16,Airport,Yes
C1187,2024-09-21,Airport,No
C1058,2024-09-08,Home,No
C0698,2024-12-07,Airport,Yes
C0389,2024-12-13,Home,Yes
C0654,2024-06-28,Airport,Yes
C0644,2024-11-28,Home,No
C0632,2024-06-22,Home,Yes
C0042,2024-11-16,Home,Yes
C0790,2024-10-17,Airport,No
C1014,2024-12-27,Home,No
C0067,2024-01-24,Home,No
C0933,2024-12-12,Home,Yes
C1159,2024-01-27,Airport,Yes
C0744,2024-02-06,Home,No
C0877,2024-11-15,Home,Yes
C0093,2024-06-10,Home,No
C1133,2024-08-13,Home,No
C0213,2024-01-21,Airport,No
C1189,2024-01-17,Home,Yes
C1108,2024-03-27,Airport,Yes
C0454,2024-12-01,Home,No
C0250,2024-01-12,Airport,Yes
C0813,2024-08-09,Home,No
C0227,2024-01-24,Home,Yes
C0366,2024-12-27,Home,Yes
C0829,2024-09-24,Airport,No
C1042,2024-12-29,Home,Yes
C0286,2024-01-22,Airport,Yes
C0605,2024-07-27,Airport,No
C1174,2024-03-29,Home,No
C0383,2024-02-25,Home,Yes
C1155,2024-12-26,Home,No
C0676,2024-12-04,Airport,Yes
C0997,2024-12-01,Home,No
C0793,2024-06-06,Home,Yes
C1189,2024-11-24,Home,Yes
C0704,2024-08-01,Home,Yes
C0165,2024-02-17,Airport,No
C0987,2024-04-17,Airport,Yes
C0102,2024-04-11,Home,No
C0134,2024-10-28,Home,Yes
C0174,2024-01-16,Airport,Yes
C0809,2024-11-02,Airport,No
C0293,2024-08-17,Home,Yes
C1050,2024-05-14,Airport,No
C0487,2024-11-30,Airport,Yes
C0577,2024-06-23,Airport,No
C0238,2024-08-04,Home,Yes
C1178,2024-06-23,Home,Yes
C0050,2024-07-19,Airport,No
C0631,2024-07-22,Airport,Yes
C0087,2024-02-16,Home,Yes
C1186,2024-07-26,Home,Yes
C0046,2024-12-05,Home,No
C0019,2024-02-13,Airport,No
C0186,2024-05-11,Home,No
C0799,2024-12-29,Home,No
C1053,2024-05-03,Airport,No
C0949,2024-07-28,Airport,Yes
C0458,2024-05-24,Airport,No
C0543,2024-12-19,Home,No
C0692,2024-01-10,Home,Yes
C1193,2024-04-02,Home,Yes
C0476,2024-06-27,Airport,Yes
C0094,2024-07-19,Home,No
C0822,2024-04-25,Airport,Yes
C0205,2024-03-10,Home,Yes
C0795,2024-05-27,Home,No
C1050,2024-10-05,Home,Yes
C0567,2024-11-10,Home,No
C0173,2024-03-08,Airport,Yes
C0426,2024-05-18,Airport,No
C1117,2024-08-12,Home,Yes
C0225,2024-12-05,Home,Yes
C0538,2024-08-03,Airport,No
C0760,2024-04-21,Home,No
C0025,2024-07-12,Airport,Yes
C0443,2024-11-26,Home,Yes
C0679,2024-01-20,Home,Yes
C0938,2024-10-15,Home,Yes
C0662,2024-09-14,Home,No
C0699,2024-06-15,Airport,No
C0139,2024-01-13,Airport,No
C0977,2024-09-25,Airport,Yes
C0937,2024-09-17,Home,No
C0220,2024-06-10,Airport,No
C0132,2024-06-14,Home,No
C0667,2024-08-27,Home,Yes
C0066,2024-11-03,Home,Yes
C1003,2024-11-11,Home,Yes
C0740,2024-04-01,Airport,No
C0389,2024-07-19,Airport,Yes
C0265,2024-05-30,Airport,Yes
C0381,2024-02-18,Home,No
C0248,2024-11-06,Airport,Yes
C1020,2024-04-01,Home,Yes
C0821,2024-03-19,Airport,Yes
C0307,2024-12-19,Home,Yes
C0943,2024-03-25,Home,No
C0425,2024-07-04,Home,No
C0399,2024-11-24,Home,Yes
C0815,2024-05-25,Home,Yes
C0032,2024-07-25,Airport,Yes
C1081,2024-11-07,Airport,Yes
C1137,2024-12-25,Home,No
C1145,2024-08-21,Home,Yes
C0561,2024-06-11,Airport,Yes
C0888,2024-12-29,Home,No
C0708,2024-08-28,Home,No
C0304,2024-09-19,Home,Yes
C0590,2024-12-08,Home,Yes
C0518,2024-02-25,Airport,No
C0323,2024-11-28,Airport,Yes
C0126,2024-05-01,Home,No
C0972,2024-10-04,Home,No
C0252,2024-04-27,Home,Yes
C0347,2024-10-05,Home,Yes
C0739,2024-10-26,Home,Yes
C0177,2024-08-06,Home,No
C1187,2024-05-06,Home,Yes
C0135,2024-08-24,Airport,No
C1131,2024-01-21,Airport,No
C0651,2024-03-23,Airport,Yes
C1129,2024-02-24,Airport,No
C1159,2024-09-08,Home,No
C0963,2024-02-19,Home,Yes
C0471,2024-01-18,Airport,Yes
C0628,2024-09-05,Home,No
C0772,2024-12-20,Home,No
C0504,2024-04-11,Home,Yes
C1075,2024-10-09,Airport,No
C0299,2024-04-26,Home,Yes
C1069,2024-06-11,Airport,Yes
C1067,2024-06-09,Home,No
C0648,2024-01-25,Airport,No
C1124,2024-03-24,Home,Yes
C0444,2024-07-23,Airport,No
C0037,2024-12-08,Airport,Yes
C0498,2024-02-29,Home,No
C0356,2024-10-02,Airport,Yes
C0379,2024-05-28,Home,No
C0166,2024-10-20,Home,Yes
C0610,2024-11-07,Home,No
C0478,2024-07-13,Airport,No
C0923,2024-12-07,Home,No
C0435,2024-06-10,Home,No
C0191,2024-09-22,Home,Yes
C0866,2024-11-01,Home,Yes
C0335,2024-05-24,Home,No
C0949,2024-03-23,Home,No
C0007,2024-07-06,Home,No
C1199,2024-03-09,Home,Yes
C0995,2024-07-15,Home,No
C1032,2024-06-10,Home,No
C0087,2024-10-29,Home,No
C0666,2024-09-27,Home,No
C0050,2024-08-26,Home,Yes
C0183,2024-02-27,Home,Yes
C1173,2024-11-07,Home,Yes
C0310,2024-06-12,Airport,Yes
C0051,2024-12-07,Airport,Yes
C0773,2024-08-21,Airport,Yes
C0257,2024-12-23,Home,No
C0206,2024-01-29,Home,No
C0168,2024-03-20,Home,Yes
C0198,2024-09-05,Airport,Yes
C0889,2024-04-08,Home,No
C0106,2024-03-03,Airport,No
C0066,2024-02-10,Airport,No
C0913,2024-06-18,Airport,No
C0857,2024-03-10,Home,No
C0843,2024-11-14,Home,Yes
C0825,2024-12-19,Home,Yes
C0777,2024-12-28,Home,No
C0121,2024-03-02,Airport,No
C0674,2024-10-16,Airport,Yes
C0994,2024-06-01,Home,Yes
C0419,2024-04-01,Home,Yes
C0607,2024-06-22,Airport,Yes
C0599,2024-05-20,Home,Yes
C0934,2024-07-04,Airport,Yes
C1079,2024-04-08,Airport,Yes
C0705,2024-03-07,Home,No
C0312,2024-06-30,Home,Yes
C0687,2024-05-03,Airport,No
C1081,2024-11-04,Airport,No
C0163,2024-01-29,Home,No
C1084,2024-12-07,Home,No
C0131,2024-11-22,Home,Yes
C0579,2024-03-02,Home,Yes
C0963,2024-05-12,Home,Yes
C1062,2024-11-02,Airport,Yes
C0815,2024-11-12,Home,No
C0961,2024-02-07,Airport,No
C0641,2024-05-17,Home,No
C0011,2024-09-20,Airport,Yes
C0574,2024-12-07,Home,Yes
C0645,2024-05-01,Airport,No
C0808,2024-05-07,Airport,Yes
C0289,2024-12-07,Home,No
C0934,2024-07-04,Home,Yes
C0895,2024-11-30,Airport,Yes
C0979,2024-10-12,Home,Yes
C1054,2024-01-18,Home,No
C0253,2024-03-10,Home,No
C0417,2024-05-19,Home,Yes
C1151,2024-04-26,Airport,No
C0486,2024-12-24,Home,Yes
C0341,2024-03-06,Home,Yes
C0452,2024-11-21,Home,Yes
C1019,2024-08-01,Airport,Yes
C1023,2024-06-20,Airport,No
C1013,2024-06-30,Airport,No
C0918,2024-05-22,Home,Yes
C0982,2024-02-06,Airport,Yes
C0791,2024-06-09,Airport,No
C0918,2024-10-12,Home,No
C0957,2024-07-05,Airport,Yes
C0036,2024-08-20,Home,No
C0764,2024-01-18,Airport,No
C0129,2024-10-22,Home,No
C0992,2024-12-28,Home,No
C0979,2024-07-30,Airport,Yes
C0605,2024-08-15,Home,No
C0337,2024-09-02,Home,No
C0435,2024-08-27,Airport,No
C0278,2024-04-22,Airport,No
C0648,2024-06-13,Home,Yes
C0939,2024-01-28,Airport,Yes
C0744,2024-01-17,Home,No
C0184,2024-08-14,Home,No
C0405,2024-09-30,Home,Yes
C0647,2024-10-22,Home,No
C1088,2024-12-15,Home,No
C0498,2024-05-05,Airport,No
C1167,2024-03-07,Home,No
C0773,2024-12-17,Airport,Yes
C0901,2024-09-27,Home,Yes
C0813,2024-04-30,Airport,No
C0987,2024-11-20,Airport,No
C1019,2024-10-31,Home,Yes
C0499,2024-02-09,Home,No
C0110,2024-02-27,Home,Yes
C0321,2024-06-22,Airport,No
C0474,2024-08-03,Home,Yes
C0684,2024-10-27,Home,Yes
C0274,2024-09-05,Airport,Yes
C0093,2024-06-19,Home,No
C0044,2024-03-13,Airport,No
C0698,2024-01-26,Home,Yes
C0340,2024-12-08,Home,No
C0812,2024-04-02,Home,Yes
C0513,2024-10-26,Home,No
C0839,2024-05-02,Home,No
C1102,2024-12-06,Airport,No
C0264,2024-07-09,Home,No
C0508,2024-09-16,Home,Yes
C0732,2024-12-22,Airport,No
C0138,2024-05-13,Airport,No
C0265,2024-01-19,Home,Yes
C1187,2024-06-24,Home,No
C1188,2024-08-16,Home,No
C0458,2024-01-05,Airport,Yes
C0258,2024-11-06,Home,No
C1047,2024-01-29,Home,No
C0746,2024-05-26,Airport,No
C0471,2024-04-25,Home,Yes
C0214,2024-05-14,Airport,No
C0853,2024-01-13,Airport,No
C1023,2024-12-13,Home,Yes
C1005,2024-09-12,Airport,Yes
C0352,2024-10-24,Airport,Yes
C0590,2024-12-19,Airport,Yes
C0637,2024-11-30,Home,Yes
C0799,2024-09-17,Home,Yes
C0211,2024-01-05,Home,No
C1146,2024-01-13,Home,Yes
C0600,2024-07-04,Home,Yes
